"","Photoperiod","Nitrogen","Time Point","Total Fatty Acid amount"
"black",0.5,0.02,0.05,0.09
"red",0.5,9e-42,0.3,9e-07
"blue1",0.02,2e-17,0.6,5e-07
"darkMagenta",0.08,0.07,0.007,0.5
"gold",0.08,0.002,0.8,0.5
"grey",0.04,0.7,0.003,0.5
