"","Photoperiod","Nitrogen","Time Point","Total Fatty Acid amount"
"black",0.085,-0.28,-0.23,0.2
"red",0.078,-0.96,-0.12,0.54
"blue1",-0.28,0.8,0.059,-0.55
"darkMagenta",0.21,0.22,0.32,-0.08
"gold",0.21,0.36,-0.029,-0.079
"grey",-0.25,-0.041,-0.34,-0.074
