names	x.pos	y.pos	module
Rsub_13430	-6948.479353315903	4796.767816054668	blue1
Rsub_13429	-1070.4793533159027	-3771.2321839453316	red
Rsub_13428	-1335.4793533159027	-2872.2321839453316	red
Rsub_13427	1457.5206466840973	4889.767816054668	red
Rsub_13426	-1038.4793533159027	-3879.2321839453316	red
Rsub_13425	36.5206466840973	-3276.2321839453316	red
Rsub_13420	-1552.4793533159027	-4504.232183945332	red
Rsub_13419	-1210.4793533159027	-4239.232183945332	red
Rsub_13416	-1345.4793533159027	-4024.2321839453316	red
Rsub_13415	1816.5206466840973	4301.767816054668	grey
Rsub_13414	1050.5206466840973	4973.767816054668	blue1
Rsub_13413	-1259.4793533159027	-2890.2321839453316	red
Rsub_13410	-494.4793533159027	-2809.2321839453316	red
Rsub_13409	-968.4793533159027	-4573.232183945332	red
Rsub_13407	1366.5206466840973	2598.7678160546684	blue1
Rsub_13406	-1609.4793533159027	-4345.232183945332	red
Rsub_13405	-1404.4793533159027	-4564.232183945332	red
Rsub_13402	3933.5206466840973	4081.7678160546684	red
Rsub_13400	-1494.4793533159027	4796.767816054668	blue1
Rsub_13399	-4173.479353315903	5064.767816054668	blue1
Rsub_13398	3263.5206466840973	4599.767816054668	red
Rsub_13395	-1869.4793533159027	110.7678160546684	red
Rsub_13393	-2267.4793533159027	-372.2321839453316	red
Rsub_13390	-6272.479353315903	5065.767816054668	black
Rsub_13389	-641.4793533159027	-3807.2321839453316	red
Rsub_13388	-6231.479353315903	5192.767816054668	red
Rsub_13387	-6290.479353315903	5146.767816054668	red
Rsub_13383	1363.5206466840973	4695.767816054668	red
Rsub_13382	-5977.670535012461	-3230.7321839453316	gold
Rsub_13368	3137.5206466840973	-684.2321839453316	darkmagenta
Rsub_13366	1937.5206466840973	4599.767816054668	red
Rsub_13365	1825.5206466840973	-531.2321839453316	gold
Rsub_13356	447.5206466840973	-3814.2321839453316	red
Rsub_13352	647.5206466840973	1710.7678160546684	blue1
Rsub_13351	-6309.479353315903	4713.767816054668	grey
Rsub_13346	903.5206466840973	-1219.2321839453316	gold
Rsub_13345	-719.4793533159027	-3279.2321839453316	red
Rsub_13344	-768.4793533159027	-1071.2321839453316	red
Rsub_13342	-357.4793533159027	971.7678160546684	blue1
Rsub_13339	-1498.4793533159027	-4764.232183945332	red
Rsub_13337	-1651.4793533159027	-4432.232183945332	red
Rsub_13336	-1304.4793533159027	-4568.232183945332	red
Rsub_13335	-1506.4793533159027	-4726.232183945332	red
Rsub_13327	-2505.4793533159027	4126.767816054668	blue1
Rsub_13320	-2588.4793533159027	4700.767816054668	red
Rsub_13315	-1385.4793533159027	2694.7678160546684	blue1
Rsub_13312	2489.5206466840973	1406.7678160546684	blue1
Rsub_13311	-6787.479353315903	-2688.2321839453316	gold
Rsub_13310	1950.5206466840973	4695.767816054668	grey
Rsub_13309	-1489.4793533159027	-4690.232183945332	red
Rsub_13307	-1152.4793533159027	-4525.232183945332	red
Rsub_13306	-1344.4793533159027	-4765.232183945332	red
Rsub_13304	-1351.4793533159027	-4420.232183945332	red
Rsub_13301	-4998.479353315903	4673.767816054668	grey
Rsub_13295	-123.4793533159027	1951.7678160546684	blue1
Rsub_13293	-168.4793533159027	796.7678160546684	blue1
Rsub_13284	-1138.4793533159027	-3088.2321839453316	red
Rsub_13283	-5879.479353315903	5065.767816054668	blue1
Rsub_13282	-5867.479353315903	4973.767816054668	blue1
Rsub_13281	1457.5206466840973	1392.7678160546684	blue1
Rsub_13280	-3288.4793533159027	-3187.2321839453316	black
Rsub_13275	-810.4793533159027	-3918.2321839453316	red
Rsub_13270	-1093.4793533159027	-1466.2321839453316	red
Rsub_13268	-1276.4793533159027	-5017.232183945332	red
Rsub_13267	1954.5206466840973	-62.2321839453316	gold
Rsub_13258	-403.4793533159027	-959.2321839453316	red
Rsub_13257	2544.5206466840973	3268.7678160546684	blue1
Rsub_13256	2850.5206466840973	2469.7678160546684	blue1
Rsub_13250	-1243.4793533159027	-1990.2321839453316	red
Rsub_13249	3836.5206466840973	5045.767816054668	red
Rsub_13248	3762.5206466840973	4973.767816054668	red
Rsub_13244	3128.5206466840973	-865.2321839453316	darkmagenta
Rsub_13243	3398.5206466840973	-1763.2321839453316	darkmagenta
Rsub_13242	2896.5206466840973	-856.2321839453316	darkmagenta
Rsub_13240	-3461.4793533159027	-3502.2321839453316	black
Rsub_13236	434.5206466840973	4182.767816054668	blue1
Rsub_13234	-1550.4793533159027	-2564.2321839453316	red
Rsub_13225	-1462.4793533159027	-4348.232183945332	red
Rsub_13221	1197.5206466840973	1374.7678160546684	blue1
Rsub_13219	-2512.4793533159027	4599.767816054668	red
Rsub_13214	3794.5206466840973	-1366.2321839453316	darkmagenta
Rsub_13201	-128.4793533159027	-2916.2321839453316	red
Rsub_13198	-5854.905808226227	-3230.7321839453316	gold
Rsub_13193	-6039.052898405578	-3124.414811859797	gold
Rsub_13192	3957.5206466840973	4973.767816054668	blue1
Rsub_13190	523.5206466840973	1188.7678160546684	blue1
Rsub_13187	912.5206466840973	1140.7678160546684	blue1
Rsub_13186	1088.5206466840973	1140.7678160546684	blue1
Rsub_13183	-103.4793533159027	4599.767816054668	blue1
Rsub_13181	-492.3322631365518	4101.085188140202	blue1
Rsub_13179	3125.5206466840973	4695.767816054668	gold
Rsub_13178	1199.5206466840973	294.7678160546684	blue1
Rsub_13177	-1335.4793533159027	-2494.2321839453316	red
Rsub_13171	-1035.4793533159027	-3088.2321839453316	red
Rsub_13165	1701.5206466840973	1040.7678160546684	blue1
Rsub_13164	3458.5206466840973	-989.2321839453316	darkmagenta
Rsub_13162	-6419.479353315903	-2566.2321839453316	gold
Rsub_13158	1745.5206466840973	1968.7678160546684	blue1
Rsub_13157	-2048.4793533159027	-4520.232183945332	red
Rsub_13154	2492.5206466840973	-1392.2321839453316	darkmagenta
Rsub_13153	1426.5206466840973	-204.2321839453316	gold
Rsub_13150	1686.5206466840973	1805.7678160546684	blue1
Rsub_13148	3720.5206466840973	-846.2321839453316	darkmagenta
Rsub_13146	-2362.4793533159027	2123.7678160546684	blue1
Rsub_13132	-369.4793533159027	1963.7678160546684	blue1
Rsub_13107	3438.5206466840973	-1498.2321839453316	darkmagenta
Rsub_13106	-2219.4793533159027	-2835.2321839453316	red
Rsub_13105	-1037.4793533159027	-3609.2321839453316	red
Rsub_13103	-1116.4793533159027	-4095.2321839453316	red
Rsub_13100	-2451.4793533159027	2201.7678160546684	blue1
Rsub_13098	-424.4793533159027	-2225.2321839453316	red
Rsub_13097	-909.4793533159027	-4330.232183945332	red
