"Mesor HNLD"	"Mesor LNLD"	"Mesor HNSD"	"Mesor LNSD"	"Amplitude HNLD"	"Amplitude LNLD"	"Amplitude HNSD"	"Amplitude LNSD"	"Phase HNLD"	"Phase LNLD"	"Phase HNSD"	"Phase LNSD"
"Rsub_00001"	2.62804018691795	12.9019930353182	1.00877274712559	8.04541950003248	1.46378506650071	10.520747814866	1.01301822650039	6.4110611279594	3.47221704626002	4.49382198625938	5.40023200745241	1.67965652953887
"Rsub_00003"	37.7994926973146	37.0232283472461	11.2660731666667	26.7385454444402	19.9413415166888	36.9021287513789	11.2146580233152	21.5035820327614	15.1329843328448	19.992987350825	5.86181231072685	18.6867821879797
"Rsub_00005"	6.10294877827773	13.7461721617874	6.06472694444444	17.5107919999992	2.67624841606858	6.11162339513077	1.84026245650497	5.6570816682639	11.226426176509	14.3748863836513	8.12133395228358	9.66544987831233
"Rsub_00006"	26.1162965150912	24.4057090768637	8.97240183794944	14.9798523806374	17.6336831449082	26.2638373363005	9.7783191076262	14.5582663185937	15.1739606887356	19.1129516174531	5.9050716184641	17.7267472087895
"Rsub_00008"	11960.37316215	2190.94708122086	34870.710178	3904.65924749953	5348.18295470198	2803.91843415726	7040.20374743844	1978.85628342876	11.7567186287207	7.41861738369811	10.8590708233804	12.5757069359584
"Rsub_00010"	143.180038095777	130.759481848858	335.750980028952	182.140916945559	97.0624770478824	86.0526791455081	67.805772021996	36.1584485778775	17.2840190977475	21.2397918933664	19.5702259680171	17.3893231584376
"Rsub_00013"	25.9973863889328	24.0341525557644	10.8402456728913	26.3179222222963	10.6076900999723	7.27982025091785	6.73093771714329	10.0160871101044	9.8929483096281	12.9926764994203	7.81739165659517	9.23983440913914
"Rsub_00015"	4332.07492721627	5309.02153552838	3153.24983270959	7303.34023411627	2292.09754915036	4445.49802246252	1537.81485308043	5404.15659258819	1.47597217458309	22.1569842575339	20.7885404061146	20.0062463093741
"Rsub_00016"	13.0070271790132	14.367498647537	7.3289885030945	12.2095226666643	4.44270075496673	7.26737495204969	3.13228828815739	5.50326747028119	0.137160538755115	0.0154892245103254	4.73016811960677	23.0582445015026
"Rsub_00017"	7.07388839376197	9.41838616226579	5.41404949965805	8.58373227860412	2.65025565254462	3.76156487647921	2.10714659345272	2.16806802424318	1.65262228870339	1.52435722948014	20.4235695398429	19.652096240388
"Rsub_00018"	43.1250332601479	31.2580776289039	44.997596	32.2506901666706	8.33036270522865	4.99849819707946	12.4454898282442	1.61219764645464	1.25888207992459	2.80766669359514	17.9477384441979	2.13182044859416
"Rsub_00021"	276.594076333333	186.227813780755	130.188718137724	188.927462649222	87.2613404454825	34.0376577880634	59.5220696329182	44.777463282046	7.77552156456202	8.32003270847144	4.8146740012603	4.57243156562734
"Rsub_00022"	3.43147894382745	13.8720750004523	3.008345	17.5736073891056	0.893584776977305	2.85949918649463	1.24174746414453	4.39913071023758	11.1052989467733	12.537309588729	7.13504564987167	9.24496905937449
